term_code,term_slug,term_label,crn,course_code,subject,course_number,course_title,primary_instructor,status,capacity,enrolled,units,modality,known_count,suppressed_bucket_count,observed_count_min,observed_count_max,all_buckets_suppressed,pdf_course_code,course_code_match,pdf_title_instructor_text,grade_a_count,grade_a_suppressed,grade_a_display,grade_a_min,grade_a_max,grade_b_count,grade_b_suppressed,grade_b_display,grade_b_min,grade_b_max,grade_c_count,grade_c_suppressed,grade_c_display,grade_c_min,grade_c_max,grade_d_count,grade_d_suppressed,grade_d_display,grade_d_min,grade_d_max,grade_f_count,grade_f_suppressed,grade_f_display,grade_f_min,grade_f_max,grade_cr_count,grade_cr_suppressed,grade_cr_display,grade_cr_min,grade_cr_max,grade_nc_count,grade_nc_suppressed,grade_nc_display,grade_nc_min,grade_nc_max,grade_p_count,grade_p_suppressed,grade_p_display,grade_p_min,grade_p_max,grade_np_count,grade_np_suppressed,grade_np_display,grade_np_min,grade_np_max,grade_w_count,grade_w_suppressed,grade_w_display,grade_w_min,grade_w_max,grade_fw_count,grade_fw_suppressed,grade_fw_display,grade_fw_min,grade_fw_max
202550,spring2025,Spring 2025,67404,LIBR 101,LIBR,101,Information Literacy,Robert Parmenter,CLOSED,35,29,1,OL,27,10,27,29,false,LIBR 101,exact,"Information Literacy Parmenter II, R R",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,27,false,27,27,27,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,69818,LIBR 101,LIBR,101,Information Literacy,Debra Renfrow,CLOSED,35,24,1,HY,25,9,25,106,false,LIBR 101,exact,"Information Literacy Renfrow, D L",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,14,false,14,14,14,11,false,11,11,11,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,59087,MAT 103,MAT,103,Introduction to Multimedia,Alejandra Jarabo,CLOSED,30,16,3,OL,11,10,11,16,false,MAT 103,exact,"Introduction to Multimedia Jarabo, A I",11,false,11,11,11,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,69302,MAT 112,MAT,112,Digital Drawing,Nicole Barr,CLOSED,30,23,3,IP,17,10,17,23,false,MAT 112,exact,"Digital Drawing Barr, N A",17,false,17,17,17,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,69303,MAT 112,MAT,112,Digital Drawing,Nicole Barr,CLOSED,30,26,3,IP,18,10,18,26,false,MAT 112,exact,"Digital Drawing Barr, N A",18,false,18,18,18,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,69307,MAT 112,MAT,112,Digital Drawing,Patrick Estrada,CLOSED,30,29,3,IP,16,10,16,29,false,MAT 112,exact,"Digital Drawing Estrada, P I",16,false,16,16,16,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,69308,MAT 131,MAT,131,Digital Imaging I,Patrick Estrada,CLOSED,30,30,3,HY,18,10,18,30,false,MAT 131,exact,"Digital Imaging I Estrada, P I",18,false,18,18,18,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,59090,MAT 136,MAT,136,Introduction to 3D Animation,Mihir Mahapatra,CLOSED,25,17,3,OL,12,10,12,17,false,MAT 136,exact,"Introduction to 3D Animation Mahapatra, M",,true,<10,0,9,12,false,12,12,12,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,69468,MAT 164,MAT,164,Online and Mobile Marketing,Miguel Vences,CLOSED,30,29,3,HY,24,10,24,29,false,MAT 164,exact,"Online and Mobile Marketing Vences, M",24,false,24,24,24,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,69813,MAT 164,MAT,164,Online and Mobile Marketing,Miguel Vences,CLOSED,30,30,3,HY,25,10,25,30,false,MAT 164,exact,"Online and Mobile Marketing Vences, M",25,false,25,25,25,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,65547,MATH 110C,MATH,110C,Support for Statistics and Liberal Arts Math,Anna Parmely,CLOSED,33,31,2,OL,29,10,29,31,false,MATH 110C,exact,"Support Stats & Lib. Arts Math Parmely, A C",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,29,false,29,29,29,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,65557,MATH 110C,MATH,110C,Support for Statistics and Liberal Arts Math,Anna Parmely,CLOSED,33,32,2,OL,27,10,27,32,false,MATH 110C,exact,"Support Stats & Lib. Arts Math Parmely, A C",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,27,false,27,27,27,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,69567,MATH 110C,MATH,110C,Support for Statistics and Liberal Arts Math,Pam Guenther,CLOSED,33,28,2,IP,25,10,25,28,false,MATH 110C,exact,"Support Stats & Lib. Arts Math Guenther, P A",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,25,false,25,25,25,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,60098,MATH 114,MATH,114,Mathematics for Liberal Arts Majors,David Gilbert,CLOSED,33,19,4,OL,0,11,0,19,true,MATH 114,exact,"Math for Liberal Arts Majors Gilbert, D W",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,60099,MATH 114,MATH,114,Mathematics for Liberal Arts Majors,David Gilbert,CLOSED,33,14,4,HY,0,11,0,14,true,MATH 114,exact,"Math for Liberal Arts Majors Gilbert, D W",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,65074,MATH 114,MATH,114,Mathematics for Liberal Arts Majors,Peter Georgakis,CLOSED,33,23,4,HY,0,11,0,23,true,MATH 114,exact,"Math for Liberal Arts Majors Georgakis, P U",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,65545,MATH 114,MATH,114,Mathematics for Liberal Arts Majors,Anna Parmely,CLOSED,33,32,4,HY,12,10,12,32,false,MATH 114,exact,"Math for Liberal Arts Majors Parmely, A C",12,false,12,12,12,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,67088,MATH 114,MATH,114,Mathematics for Liberal Arts Majors,Anna Parmely,CLOSED,33,32,4,HY,0,11,0,32,true,MATH 114,exact,"Math for Liberal Arts Majors Parmely, A C",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,68040,MATH 114,MATH,114,Mathematics for Liberal Arts Majors,Peter Georgakis,CLOSED,33,29,4,HY,11,10,11,29,false,MATH 114,exact,"Math for Liberal Arts Majors Georgakis, P U",,true,<10,0,9,11,false,11,11,11,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,55131,MATH 117,MATH,117,Elementary Statistics,Daniel Giles-Bullicer,CLOSED,33,29,4,IP,11,10,11,29,false,MATH 117,exact,"Elementary Statistics Giles-Bullicer, D J",,true,<10,0,9,11,false,11,11,11,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,55138,MATH 117,MATH,117,Elementary Statistics,Andrea Cullinen,CLOSED,30,34,4,HY,0,11,0,34,true,MATH 117,exact,"Elementary Statistics Cullinen, A L",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,55139,MATH 117,MATH,117,Elementary Statistics,Lee Chang,CLOSED,33,25,4,IP,0,11,0,25,true,MATH 117,exact,"Elementary Statistics Chang, L T",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,55140,MATH 117,MATH,117,Elementary Statistics,David Gilbert,CLOSED,33,34,4,IP,17,10,17,34,false,MATH 117,exact,"Elementary Statistics Gilbert, D W",17,false,17,17,17,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,55141,MATH 117,MATH,117,Elementary Statistics,Andrea Cullinen,CLOSED,30,30,4,HY,0,11,0,30,true,MATH 117,exact,"Elementary Statistics Cullinen, A L",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,55143,MATH 117,MATH,117,Elementary Statistics,Yen Kuang Chou,CLOSED,33,33,4,HY,12,10,12,33,false,MATH 117,exact,"Elementary Statistics Chou, Y",12,false,12,12,12,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,55146,MATH 117,MATH,117,Elementary Statistics,Pam Guenther,CLOSED,33,28,4,IP,12,10,12,28,false,MATH 117,exact,"Elementary Statistics Guenther, P A",12,false,12,12,12,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,55919,MATH 117,MATH,117,Elementary Statistics,David Gilbert,CLOSED,33,22,4,HY,0,11,0,22,true,MATH 117,exact,"Elementary Statistics Gilbert, D W",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,58473,MATH 117,MATH,117,Elementary Statistics,Lee Chang,CLOSED,33,22,4,IP,0,11,0,22,true,MATH 117,exact,"Elementary Statistics Chang, L T",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,62282,MATH 117,MATH,117,Elementary Statistics,Daniel Giles-Bullicer,CLOSED,33,31,4,IP,0,11,0,31,true,MATH 117,exact,"Elementary Statistics Giles-Bullicer, D J",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,63248,MATH 117,MATH,117,Elementary Statistics,Lee Chang,CLOSED,33,21,4,HY,0,11,0,21,true,MATH 117,exact,"Elementary Statistics Chang, L T",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,65337,MATH 117,MATH,117,Elementary Statistics,David Gilbert,CLOSED,33,24,4,HY,11,10,11,24,false,MATH 117,exact,"Elementary Statistics Gilbert, D W",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,11,false,11,11,11,,true,<10,0,9
202550,spring2025,Spring 2025,65364,MATH 117,MATH,117,Elementary Statistics,Lee Chang,CLOSED,33,20,4,IP,0,11,0,20,true,MATH 117,exact,"Elementary Statistics Chang, L T",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,65373,MATH 117,MATH,117,Elementary Statistics,Anuroopa Kalbag,CLOSED,33,25,4,HY,19,10,19,25,false,MATH 117,exact,"Elementary Statistics Kalbag, A",19,false,19,19,19,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,65558,MATH 117,MATH,117,Elementary Statistics,David Gilbert,CLOSED,33,32,4,HY,0,11,0,32,true,MATH 117,exact,"Elementary Statistics Gilbert, D W",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,65566,MATH 117,MATH,117,Elementary Statistics,Lee Chang,CLOSED,33,23,4,HY,0,11,0,23,true,MATH 117,exact,"Elementary Statistics Chang, L T",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,65567,MATH 117,MATH,117,Elementary Statistics,Gabriel Pretel,CLOSED,33,34,4,IP,0,11,0,34,true,MATH 117,exact,"Elementary Statistics Pretel, G H",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,65568,MATH 117,MATH,117,Elementary Statistics,Pam Guenther,CLOSED,33,27,4,IP,0,11,0,27,true,MATH 117,exact,"Elementary Statistics Guenther, P A",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,66144,MATH 117,MATH,117,Elementary Statistics,Bronwen Moore,CLOSED,33,26,4,OL,0,11,0,26,true,MATH 117,exact,"Elementary Statistics Moore, B K",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,67930,MATH 117,MATH,117,Elementary Statistics,Bronwen Moore,CLOSED,33,22,4,OL,0,11,0,22,true,MATH 117,exact,"Elementary Statistics Moore, B K",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,67940,MATH 117,MATH,117,Elementary Statistics,Bronwen Moore,CLOSED,33,24,4,OL,0,11,0,24,true,MATH 117,exact,"Elementary Statistics Moore, B K",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,67942,MATH 117,MATH,117,Elementary Statistics,Bronwen Moore,CLOSED,33,22,4,OL,0,11,0,22,true,MATH 117,exact,"Elementary Statistics Moore, B K",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,67943,MATH 117,MATH,117,Elementary Statistics,Pam Guenther,CLOSED,33,29,4,IP,15,10,15,29,false,MATH 117,exact,"Elementary Statistics Guenther, P A",15,false,15,15,15,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,68660,MATH 117,MATH,117,Elementary Statistics,Bronwen Moore,CLOSED,33,21,4,OL,0,11,0,21,true,MATH 117,exact,"Elementary Statistics Moore, B K",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
202550,spring2025,Spring 2025,68781,MATH 117,MATH,117,Elementary Statistics,Bronwen Moore,CLOSED,33,22,4,OL,0,11,0,22,true,MATH 117,exact,"Elementary Statistics Moore, B K",,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9,,true,<10,0,9
